"StartDate","EndDate","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientEmail","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","Q2","Q2_20_TEXT","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10","Q11","Q12","Q13","Q14","Q15","Q16","Q17","Q18"
"Start Date","End Date","Progress","Duration (in seconds)","Finished","Recorded Date","Response ID","Recipient Email","Location Latitude","Location Longitude","Distribution Channel","User Language","Which of the following courses has requested you to take this survey? - Selected Choice","Which of the following courses has requested you to take this survey? - Other course, please specify: - Text","What comes to mind when you hear the word “research”?","Imagine you were assigned to research a specific topic or question. Briefly describe the steps you would take to get this information.","In your own words, describe a primary source.","In your own words, describe a secondary source.","How clear is your understanding of research?","How confident are you to conduct a research project?","How prepared are you to locate primary and secondary sources using campus resources available to the public?","How many different physical or archival databases do you feel confident using for research purposes?","What sets of skill, strategies, or values do you think are necessary to succeed in college?","Please rate the extent to which you agree with this statement: Creativity will be an important part of my Berkeley education.","If you would like to explain your choice in the prior question, please do so here.","Please rate the extent to which you agree with this statement: Discovery will be an important part of my Berkeley education.","If you would like to explain your choice in the prior question, please do so here.","Please rate the extent to which you agree with this statement: Community engagement is an important part of an undergraduate classroom experience.","If you would like to explain your choice in the prior question, please do so here.","What does the phrase “Discovery experience” mean to you?"
"{""ImportId"":""startDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""endDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID20""}","{""ImportId"":""QID20_20_TEXT""}","{""ImportId"":""QID1_TEXT""}","{""ImportId"":""QID2_TEXT""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID4_TEXT""}","{""ImportId"":""QID5""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10_TEXT""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12_TEXT""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14_TEXT""}","{""ImportId"":""QID16""}","{""ImportId"":""QID15_TEXT""}","{""ImportId"":""QID19_TEXT""}"
"2022-09-19 11:21:32","2022-09-19 11:23:04","100","92","True","2022-09-19 11:23:04","R_ROkLHxwUKqEic4F",NA,"37.8657","-122.2571","anonymous","EN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022-09-19 14:35:47","2022-09-19 14:39:05","100","198","True","2022-09-19 14:39:06","R_3PHOVaeQ5oSzTyI",NA,"37.7652","-122.1579","anonymous","EN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022-09-21 09:56:12","2022-09-21 10:08:54","100","762","True","2022-09-21 10:08:55","R_1P7XGWEUGjA6Vk9",NA,"37.8657","-122.2571","anonymous","EN","French 146A",NA,"Data collection, analysis, and synthesis ","Lay out goals and questions, then look for things previously published on the topic and relevant sources/references.","A source of information that is not analyzed by a third party. ","A source of information that analyzes, summarizes, or is based on information from another information source.","Unclear","Very Unconfident","Prepared","1-2","Curiosity, determination, basic computer skills, some comfort talking to people and looking for help, creativity, ability to break problems down/organizational skills. With those things I think you can build necessary project-specific skills.","Strongly agree",NA,"Somewhat agree",NA,"Neither agree nor disagree","It's important be able to reach out to others for help but I think beyond that community is not so important. ","Oof I guess it makes me think of published research or at least of synthesis done at home/not published."
"2022-09-21 10:14:43","2022-09-21 10:18:23","100","219","True","2022-09-21 10:18:23","R_3KTImbjDeUAuusj",NA,"37.8657","-122.2571","anonymous","EN","French 146A",NA,"lab, data, experiment","I would read about it, try to come up with a hypothesis to answer the question, conduct a study/experiment, gather results, then form a conclusion.","A primary source is a direct account. ","A secondary source is information gathered about something indirectly, not from the subject itself. ","Clear","Unconfident","Prepared","3-5","time-management, perseverance, communication skills, responsibility","Strongly agree",NA,"Somewhat agree",NA,"Somewhat agree",NA,NA
"2022-09-21 09:57:19","2022-09-21 10:32:36","100","2116","True","2022-09-21 10:32:36","R_1JEqFY7JjG4Bep3",NA,"37.7562","-122.4866","anonymous","EN","French 146A",NA,"Research is an investigation into a specific topic using experiments and observations to come to conclusions about the topic or to form more hypotheses. ","I would use the resources available to me that pertain to the topic. I would use the Internet and the databases provided by UC Berkeley, look for books in the libraries on campus, and consult professors who teach that topic. Then I would compile the knowledge I have gained to analyse whether other steps would need to be taken to conduct further research, such as visiting other research sites, observing phenomena related to my topic, or conducting an experiment or survey to pull in further results. I would record all my findings and write it in a paper.","A primary source is something or someone with firsthand knowledge or experience of the information I am looking into.","A secondary source could come from someone else who is researching the topic but who doesn't have personal information on the subject.","Unclear","Very Unconfident","Unprepared","1-2",NA,"Strongly agree",NA,"Somewhat agree",NA,"Strongly agree",NA,"Nothing. I've never heard of that term before. I'm guessing it means an opportunity for research without the official side of writing a paper or conducting formal research. It's more about the experiencing something and learning about it."
"2022-09-21 10:53:43","2022-09-21 11:06:11","100","748","True","2022-09-21 11:06:11","R_2SIeIzUcnAb2pKq",NA,"37.8657","-122.2571","anonymous","EN","French 146A",NA,"Lots of reading, assembling large bibliographies; surveys, questionnaires; experiments. ","Clearly depends on the subject. In general, the first step is to find reputable resources, papers articles or even books, that provide good overviews. ","A source with first-hand knowledge of something. ","Sources which bring first-hand knowledge alongside information after the fact.","Clear","Confident","Prepared","6-8","Dedication. Curiosity. ","Somewhat agree","Creativity in problem solving matters a lot, but in general following the facts where they lead does not seem to implicate a lot of creativity. ","Strongly agree",NA,"Neither agree nor disagree",NA,NA
"2022-09-21 12:06:14","2022-09-21 12:07:36","100","81","True","2022-09-21 12:07:36","R_2CPvE78GDCHQOfw",NA,"37.9845","-122.1355","anonymous","EN","College Writing Programs R4B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022-09-22 09:37:35","2022-09-22 09:47:13","100","578","True","2022-09-22 09:47:14","R_3IYPxxQlFG8Fk7q",NA,"37.8657","-122.2571","anonymous","EN","College Writing Programs R4B",NA,"Searching again, to search information on a topic that has been well looked into by several people already, but not only that, adding your own as well.","The internet is an incredibly helpful source to find information on a certain topic. The UC Library has several articles, journals, and books students can access, as well as other platforms such as Google Scholar.","A primary source is something written or created directly from the person, such as a journal, artwork, a voice memo, etc.","A secondary source typically uses a primary source and interprets the primary source, like an article or essay.","Clear","Confident","Prepared","3-5","Asking for help when you need it is something I think is the most crucial skill a student can have in college. Finding resources and utilising them to your best ability is also something to take advantage of as a student. ","Strongly agree","Being creative caters towards several skill sets that we as Berkeley students will need.","Strongly agree","Reaching out is a powerful skill!","Strongly agree","Building connections and bonds is another powerful tool as a student","The phrase discovery experience means the journey of finding your own skills and values as well as honing them"
